,Your Name:,Andy,,,,,,,,,,,,2026 Box Office Tournament,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,,,Round 2,,,Round 3,,,Quarter-Finals,,,Semi-Finals,,,,Championship,,,,,,Semi-Finals,,,Quarter-Finals,,,Round 3,,,Round 2,,,Round 1,,
1,Avengers: Doomsday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,The Mandalorian & Grogu,1
,,,,Avengers: Doomsday,,,,,,,,,,,,,Your Total Points,,,,,,,,,,,,,,1,The Mandalorian & Grogu,,,,
16,Mercy,,,,,,,,,,,,,,,,14,,,,,,,,,,,,Points!,,,,,,Reminders of Him,16
,,,,,,,Avengers: Doomsday,,,,,,,,,,,,,,,,,,,,,2,The Mandalorian & Grogu,,,,,,,
8,The Angry Birds Movie 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,The Devil Wears Prada 2,8
,,,,Goat,,,,,,,,,,,,,Points Per Round,,,,,,,,,,,,,,1,The Devil Wears Prada 2,,,,
9,Goat,,,,,,,,,,,,,,,,Round 1 (1pt),,10,,,,,,,,,,,,,,,,The Bride!,9
,,,,,,,,,,Avengers: Doomsday,,,,,,,Round 2 (2pt),,4,,,,,,,The Mandalorian & Grogu,,,,,,,,,,
5,Dr. Seuss' The Cat in the Hat,,,,,,,,,,,,,,,,Round 3 (4pt),,0,,,,,,,,,,,,,,,,Project Hail Mary,5
,,,,Dr. Seuss' The Cat in the Hat,,,,,,,,,,,,,Quarter-Finals (8pt),,0,,,,,,,,,,,,,Project Hail Mary,,,,
12,Young Washington,,,,,,,,,,,,,,,,Semi-Finals (16pt),,0,,,,,,,,,,,,,,,,The Social Reckoning,12
,,,,,,,Dr. Seuss' The Cat in the Hat,,,,,,,,,,Championship(32pt),,0,,,,,,,,,,Hoppers,,,,,,,
4,Michael,,,,,,,,,,,,,,,,,TIE BREAKER,,,,,,,,,,,,,,,,,Hoppers,4
,,,,Michael,,,,,,,,,,,,,Guess the grand total of all of this years film scores combined.,,,,,,,,,,,,,,,Hoppers,,,,
13,Focker-In-Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archangel,13
,,,,Bracket 1,,,,,,,,,Avengers: Doomsday,,,,,"$1,752.74",,,,,The Mandalorian & Grogu,,,,,,Bracket 3,,,,,,,
6,Street Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal Kombat II,,,Mortal Kombat II,6
,,,,Street Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28 Years Later: The Bone Temple,,,,
