,Your Name:,Jason,,,,,,,,,,,,2026 Box Office Tournament,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,,,Round 2,,,Round 3,,,Quarter-Finals,,,Semi-Finals,,,,Championship,,,,,,Semi-Finals,,,Quarter-Finals,,,Round 3,,,Round 2,,,Round 1,,
1,Avengers: Doomsday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,The Mandalorian & Grogu,1
,,,,Avengers: Doomsday,,,,,,,,,,,,,Your Total Points,,,,,,,,,,,,,,1,The Mandalorian & Grogu,,,,
16,Mercy,,,,,,,,,,,,,,,,15,,,,,,,,,,,,Points!,,,,,,Reminders of Him,16
,,,,,,,Avengers: Doomsday,,,,,,,,,,,,,,,,,,,,,2,The Mandalorian & Grogu,,,,,,,
8,The Angry Birds Movie 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,The Devil Wears Prada 2,8
,,,,The Angry Birds Movie 3,,,,,,,,,,,,,Points Per Round,,,,,,,,,,,,,,1,The Devil Wears Prada 2,,,,
9,Goat,,,,,,,,,,,,,,,,Round 1 (1pt),,9,,,,,,,,,,,,,,,,The Bride!,9
,,,,,,,,,,Avengers: Doomsday,,,,,,,Round 2 (2pt),,6,,,,,,,The Mandalorian & Grogu,,,,,,,,,,
5,Dr. Seuss' The Cat in the Hat,,,,,,,,,,,,,,,,Round 3 (4pt),,0,,,,,,,,,,,,,,,,Project Hail Mary,5
,,,,Dr. Seuss' The Cat in the Hat,,,,,,,,,,,,,Quarter-Finals (8pt),,0,,,,,,,,,,,,,Project Hail Mary,,,,
12,Young Washington,,,,,,,,,,,,,,,,Semi-Finals (16pt),,0,,,,,,,,,,,,,,,,The Social Reckoning,12
,,,,,,,Michael,,,,,,,,,,Championship(32pt),,0,,,,,,,,,,Hoppers,,,,,,,
4,Michael,,,,,,,,,,,,,,,,,TIE BREAKER,,,,,,,,,,,,,,,,,Hoppers,4
,,,,Michael,,,,,,,,,,,,,Guess the grand total of all of this years film scores combined.,,,,,,,,,,,,,,,Hoppers,,,,
13,Focker-In-Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archangel,13
,,,,Bracket 1,,,,,,,,,Avengers: Doomsday,,,,,"$2,026.11",,,,,The Mandalorian & Grogu,,,,,,Bracket 3,,,,,,,
6,Street Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,Mortal Kombat II,6
,,,,Street Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mortal Kombat II,,,,
11,Practical Magic 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,,,,28 Years Later: The Bone Temple,11
,,,,,,,Hexed,,,,,,,,,,,,,,,,,,,,,2,Mortal Kombat II,,,,,,,
3,Hexed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,Masters of the Universe,3
,,,,Hexed,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Masters of the Universe,,,,
14,Cut Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cliffhanger,14
,,,,,,,,,,The Super Mario Galaxy Movie,,,,,,,,,,,,,,,,The Hunger Games: Sunrise on the Reaping,,,,,,,,,,
7,Scream 7,,,Scream 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Violent Night 2,7
,,,,Return to Silent Hill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Wuthering Heights,,,,
10,Return to Silent Hill,,,,,,Points!,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wuthering Heights,10
,,,,,,,The Super Mario Galaxy Movie,2,,,,,,,,,,,,,,,,,,,,,The Hunger Games: Sunrise on the Reaping,,,,,,,
2,The Super Mario Galaxy Movie,,,Points!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hunger Games: Sunrise on the Reaping,2
,,,,The Super Mario Galaxy Movie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hunger Games: Sunrise on the Reaping,,,,
15,Soulm8te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Drama,15
,,,,,,,,,,,,,,,,Avengers: Doomsday,,,,The Mandalorian & Grogu,,,,,,,,,,,,,,,,
1,Toy Story 5,,,Points!,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,Spider-Man: Brand New Day,1
,,,,Toy Story 5,1,,,,,,,,,,,,,CHAMPION,,,,,,,,,,,,,1,Spider-Man: Brand New Day,,,,
16,Crime 101,,,,,,,,,,,,,,,,,Avengers: Doomsday,,,,,,,,,,,,,,,,,Power Ballad,16
,,,,,,,Toy Story 5,,,,,,,,,,,,,,,,,,,,,,Spider-Man: Brand New Day,,,,,,,
8,PAW Patrol: The Dino Movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clayface,8
