Rank,Division,MOVIE,Score,Release Date
1,1,Avengers: Doomsday,,12/18/2026
1,2,Toy Story 5,$159.67,6/19/2026
1,3,The Mandalorian & Grogu,$81.67,5/22/2026
1,4,Spider-Man: Brand New Day,$360.09,7/31/2026
2,1,The Super Mario Galaxy Movie,$131.70,4/1/2026
2,2,Dune: Part Three,,12/18/2026
2,3,The Hunger Games: Sunrise on the Reaping,,11/20/2026
2,4,Supergirl: Woman of Tomorrow,$37.10,6/26/2026
3,1,Hexed,,11/25/2026
3,2,Moana,$43.14,7/10/2026
3,3,Masters of the Universe,$29.43,6/5/2026
3,4,Jumanji 4,,12/25/2026
4,1,Michael,$97.20,4/24/2026
4,2,Forgotten Island,,9/25/2026
4,3,Hoppers,$45.34,3/6/2026
4,4,The Legend of Aang: The Last Airbender,$0.00,
5,1,Dr. Seuss' The Cat in the Hat,,11/6/2026
5,2,Animal Friends,$0.00,
5,3,Project Hail Mary,$80.50,3/20/2026
5,4,The Mummy,$13.51,4/17/2026
6,1,Street Fighter,,10/16/2026
6,2,The Odyssey,$123.50,7/17/2026
6,3,Mortal Kombat II,$38.50,5/8/2026
6,4,Narnia: The Magician's Nephew,$0.00,
7,1,Scream 7,$63.61,2/27/2026
7,2,Insidious 6,,8/21/2026
7,3,Violent Night 2,,12/4/2026
7,4,Coyote vs Acme,,8/28/2026
8,1,The Angry Birds Movie 3,,12/23/2026
8,2,PAW Patrol: The Dino Movie,,8/14/2026
8,3,The Devil Wears Prada 2,$76.74,5/1/2026
8,4,Clayface,,10/23/2026
9,1,Goat,$27.20,2/13/2026
9,2,Untitled Spielberg Film,$44.53,6/12/2026
9,3,The Bride!,$7.05,3/6/2026
9,4,Ready or Not 2: Here I Come,$9.07,3/20/2026
10,1,Return to Silent Hill,$3.25,1/23/2026
10,2,Evil Dead Burn,$13.70,7/24/2026
10,3,Wuthering Heights,$32.80,2/13/2026
10,4,Resident Evil,,9/18/2026
11,1,Practical Magic 2,,9/11/2026
11,2,Werwulf,,12/25/2026
11,3,28 Years Later: The Bone Temple,$12.52,1/16/2026
11,4,Scary Movie 6,$54.33,6/12/2026
12,1,Young Washington,$19.37,7/3/2026
12,2,The Dog Stars,,8/28/2026
12,3,The Social Reckoning,,10/9/2026
12,4,Whitney Springs,$0.00,
13,1,Focker-In-Law,,11/25/2026
13,2,The Breadwinner,$7.35,5/29/2026
13,3,Archangel,,11/6/2026
13,4,4 Kids Walk Into a Bank,$0.00,
14,1,Cut Off,,12/31/2026
14,2,Remain,$0.00,
14,3,Cliffhanger,$0.00,
14,4,Greeland 2: Migration,$8.40,1/9/2026
15,1,Soulm8te,$0.00,
15,2,Shiver,$0.00,
15,3,The Drama,$14.38,4/3/2026
15,4,The Sheep Detectives,$15.08,5/8/2026
16,1,Mercy,$10.80,1/23/2026
16,2,Crime 101,$14.25,2/13/2026
16,3,Reminders of Him,$17.97,3/13/2026
16,4,Power Ballad,$1.28,6/5/2026
